"datetime","airTemperature_degF","lakeElevation_ft","outflow_cfs","precipitation_in"
2018-01-01 01:00:00,"-7.5","1091.83","93","0"
2018-01-01 02:00:00,"-7.8","1091.84","93","0"
2018-01-01 03:00:00,"-8.4","1091.82","93","0"
2018-01-01 04:00:00,"-8.1","1091.86","93","0"
2018-01-01 05:00:00,"-8.7","1091.84","93","0"
2018-01-01 06:00:00,"-9","1091.84","93","0"
2018-01-01 07:00:00,"-9.3","1091.85","93","0"
2018-01-01 08:00:00,"-9.8","1091.88","94","0"
2018-01-01 09:00:00,"-6.5","1091.86","93","0"
2018-01-01 10:00:00,"-3.4","1091.86","93","0"
2018-01-01 11:00:00,"-1.1","1091.8","93","0"
2018-01-01 12:00:00,"1.5","1091.8","94","0"
2018-01-01 13:00:00,"4.1","1091.82","93","0"
2018-01-01 14:00:00,"4","1091.85","93","0"
2018-01-01 15:00:00,"3.9","1091.86","93","0"
2018-01-01 16:00:00,"1.7","1091.85","93","0"
2018-01-01 17:00:00,"-0.3","1091.85","93","0"
2018-01-01 18:00:00,"-2.4","1091.81","93","0"
2018-01-01 19:00:00,"-5","1091.83","94","0"
2018-01-01 20:00:00,"-5.4","1091.83","93","0"
2018-01-01 21:00:00,"-6.2","1091.82","93","0"
2018-01-01 22:00:00,"-7.7","1091.82","93","0"
2018-01-01 23:00:00,"-9.5","1091.82","93","0"
2018-01-02 00:00:00,"-8.8","1091.83","93","0"
2018-01-02 01:00:00,"-9.9","1091.82","93","0"
2018-01-02 02:00:00,"-8.5","1091.83","93","0"
2018-01-02 03:00:00,"-10.5","1091.83","93","0"
2018-01-02 04:00:00,"-10.2","1091.82","94","0"
2018-01-02 05:00:00,"-12.8","1091.82","94","0"
2018-01-02 06:00:00,"-14.3","1091.82","93","0"
2018-01-02 07:00:00,"-13.3","1091.82","93","0"
2018-01-02 08:00:00,"-14.3","1091.81","93","0"
2018-01-02 09:00:00,"-10.3","1091.82","93","0"
2018-01-02 10:00:00,"-3.3","1091.83","93","0"
2018-01-02 11:00:00,"0.4","1091.82","93","0"
2018-01-02 12:00:00,"3.1","1091.83","93","0"
2018-01-02 13:00:00,"6","1091.8","93","0"
2018-01-02 14:00:00,"8","1091.8","93","0"
2018-01-02 15:00:00,"9.8","1091.81","93","0"
2018-01-02 16:00:00,"9.7","1091.83","93","0"
2018-01-02 17:00:00,"10.4","1091.8","92","0"
2018-01-02 18:00:00,"9.7","1091.79","93","0"
2018-01-02 19:00:00,"10.8","1091.82","93","0"
2018-01-02 20:00:00,"11.1","1091.81","93","0"
2018-01-02 21:00:00,"11.9","1091.81","93","0"
2018-01-02 22:00:00,"9.7","1091.81","93","0"
2018-01-02 23:00:00,"8.6","1091.81","93","0"
2018-01-03 00:00:00,"9.7","1091.79","93","0"
2018-01-03 01:00:00,"10.6","1091.77","93","0"
2018-01-03 02:00:00,"7.3","1091.79","93","0"
2018-01-03 03:00:00,"6.9","1091.79","93","0"
2018-01-03 04:00:00,"6.7","1091.78","93","0"
2018-01-03 05:00:00,"5.1","1091.79","93","0"
2018-01-03 06:00:00,"5.6","1091.79","93","0"
2018-01-03 07:00:00,"6.3","1091.8","93","0"
2018-01-03 08:00:00,"6.7","1091.81","93","0"
2018-01-03 09:00:00,"8.5","1091.78","93","0"
2018-01-03 10:00:00,"14","1091.78","92","0"
2018-01-03 11:00:00,"16.1","1091.78","93","0"
2018-01-03 12:00:00,"21.1","1091.78","93","0"
2018-01-03 13:00:00,"21.8","1091.78","92","0"
2018-01-03 14:00:00,"21.5","1091.78","93","0"
2018-01-03 15:00:00,"20.7","1091.79","93","0"
2018-01-03 16:00:00,"18.8","1091.78","93","0"
2018-01-03 17:00:00,"13.2","1091.78","93","0"
2018-01-03 18:00:00,"10.6","1091.78","93","0"
2018-01-03 19:00:00,"9.5","1091.78","93","0"
2018-01-03 20:00:00,"6.9","1091.78","93","0"
2018-01-03 21:00:00,"7.1","1091.78","93","0"
2018-01-03 22:00:00,"6.5","1091.79","93","0"
2018-01-03 23:00:00,"7.5","1091.76","93","0"
2018-01-04 00:00:00,"5.4","1091.76","92","0"
2018-01-04 01:00:00,"4.9","1091.75","93","0"
2018-01-04 02:00:00,"5.2","1091.75","93","0"
2018-01-04 03:00:00,"5.8","1091.75","93","0"
2018-01-04 04:00:00,"6.2","1091.78","92","0"
2018-01-04 05:00:00,"8.7","1091.77","93","0"
2018-01-04 06:00:00,"10.5","1091.76","93","0"
2018-01-04 07:00:00,"10","1091.75","93","0"
2018-01-04 08:00:00,"11.2","1091.74","93","0"
2018-01-04 09:00:00,"12.6","1091.78","92","0"
2018-01-04 10:00:00,"15.2","1091.78","93","0"
2018-01-04 11:00:00,"15.9","1091.76","93","0"
2018-01-04 12:00:00,"15.8","1091.75","93","0"
2018-01-04 13:00:00,"16","1091.78","93","0"
2018-01-04 14:00:00,"16.4","1091.79","93","0"
2018-01-04 15:00:00,"16.7","1091.84","93","0"
2018-01-04 16:00:00,"17.5","1091.74","93","0"
2018-01-04 17:00:00,"18","1091.84","93","0"
2018-01-04 18:00:00,"18","1091.8","92","0"
2018-01-04 19:00:00,"16.7","1091.76","95","0"
2018-01-04 20:00:00,"15","1091.85","93","0"
2018-01-04 21:00:00,"14.8","1092.06","93","0"
2018-01-04 22:00:00,"15.6","1091.73","93","0"
2018-01-04 23:00:00,"15.5","1091.84","93","0"
2018-01-05 00:00:00,"15.1","1091.85","93","0"
2018-01-05 01:00:00,"13.6","1091.86","92","0"
2018-01-05 02:00:00,"12.3","1091.79","92","0"
2018-01-05 03:00:00,"11.3","1091.79","92","0"
