"datetime","airTemperature_degF","lakeElevation_ft","outflow_cfs","precipitation_in"
2022-01-01 01:00:00,"33.8","1091.95","74","0.01"
2022-01-01 02:00:00,"34.4","1091.94","74","0.01"
2022-01-01 03:00:00,"34.3","1091.96","74","0.01"
2022-01-01 04:00:00,"34.2","1091.95","74","0.02"
2022-01-01 05:00:00,"34.2","1091.94","74","0.01"
2022-01-01 06:00:00,"35.7","1091.93","74","0.03"
2022-01-01 07:00:00,"35.2","1091.95","74","0.02"
2022-01-01 08:00:00,"35.3","1091.95","74","0.07"
2022-01-01 09:00:00,"35.3","1091.95","75","0.06"
2022-01-01 10:00:00,"35.4","1091.98","76","0.04"
2022-01-01 11:00:00,"36.2","1091.99","75","0.03"
2022-01-01 12:00:00,"36.2","1091.95","75","0.02"
2022-01-01 13:00:00,"37","1091.95","75","0.01"
2022-01-01 14:00:00,"37.1","1091.96","75","0.02"
2022-01-01 15:00:00,"36.5","1091.96","75","0"
2022-01-01 16:00:00,"35.9","1091.97","75","0.01"
2022-01-01 17:00:00,"35.7","1091.96","75","0"
2022-01-01 18:00:00,"35.3","1091.96","75","0"
2022-01-01 19:00:00,"35","1091.96","75","0"
2022-01-01 20:00:00,"35.3","1091.96",NA,"0"
2022-01-01 21:00:00,"34.9","1091.97","75","0"
2022-01-01 22:00:00,"34.9","1091.97","75","0"
2022-01-01 23:00:00,"34.8","1091.96","75","0"
2022-01-02 00:00:00,"34.8","1091.97","75","0.01"
2022-01-02 01:00:00,"35","1091.97","75","0"
2022-01-02 02:00:00,"34.8","1091.95","75","0.02"
2022-01-02 03:00:00,"35.1","1091.98","76","0.03"
2022-01-02 04:00:00,"35.2","1092","76","0.03"
2022-01-02 05:00:00,"34.8","1091.99","76","0.01"
2022-01-02 06:00:00,"35.3","1091.99","76","0.04"
2022-01-02 07:00:00,"35.2","1091.97","77","0.01"
2022-01-02 08:00:00,"36","1091.96","77","0.02"
2022-01-02 09:00:00,"35.8","1092.01","77","0"
2022-01-02 10:00:00,"35.3","1092.02","76","0.02"
2022-01-02 11:00:00,"34.6","1091.99","77","0.02"
2022-01-02 12:00:00,"34","1091.99","77","0.02"
2022-01-02 13:00:00,"33.4","1091.99","77","0"
2022-01-02 14:00:00,"33.3","1092.03","78","0"
2022-01-02 15:00:00,"32.9","1092","77","0"
2022-01-02 16:00:00,"31.9","1092","77","0"
2022-01-02 17:00:00,"30.7","1091.98","76","0"
2022-01-02 18:00:00,"29.5","1092.03","77","0"
2022-01-02 19:00:00,"28.3","1092.02","76","0"
2022-01-02 20:00:00,"26.5","1092.02","76","0"
2022-01-02 21:00:00,"24.5","1092.01","76","0"
2022-01-02 22:00:00,"22.8","1092","76","0"
2022-01-02 23:00:00,"21.3","1092","76","0"
2022-01-03 00:00:00,"19.8","1092.02","76","0"
2022-01-03 01:00:00,"18.2","1092.02","76","0"
2022-01-03 02:00:00,"17","1092.03","76","0"
2022-01-03 03:00:00,"16.1","1092.04","76","0"
2022-01-03 04:00:00,"15.1","1092.01","75","0"
2022-01-03 05:00:00,"14.8","1092.02","75","0"
2022-01-03 06:00:00,"14.4","1092.03","76","0"
2022-01-03 07:00:00,"13.7","1092.02","75","0"
2022-01-03 08:00:00,"12.6","1092.01","75","0"
2022-01-03 09:00:00,"13.1","1092.02","75","0"
2022-01-03 10:00:00,"13.1","1092.01","75","0"
2022-01-03 11:00:00,"13.7","1092.01","75","0"
2022-01-03 12:00:00,"14.5","1092.02","75","0"
2022-01-03 13:00:00,"15","1092.02","75","0"
2022-01-03 14:00:00,"15","1092.02","75","0"
2022-01-03 15:00:00,"14.8","1092","74","0"
2022-01-03 16:00:00,"14.5","1092","75","0"
2022-01-03 17:00:00,"14","1092","75","0"
2022-01-03 18:00:00,"13.3","1092","75","0"
2022-01-03 19:00:00,"12.3","1092.03","75","0"
2022-01-03 20:00:00,"11.6","1092","75","0"
2022-01-03 21:00:00,"11.1","1091.99","75","0"
2022-01-03 22:00:00,"10.2","1092.01","75","0"
2022-01-03 23:00:00,"9","1092","75","0"
2022-01-04 00:00:00,"7.5","1092.01","75","0"
2022-01-04 01:00:00,"6.7","1092.01","75","0"
2022-01-04 02:00:00,"6.6","1092","75","0"
2022-01-04 03:00:00,"6.4","1092","75","0"
2022-01-04 04:00:00,"5.7","1092.02","75","0"
2022-01-04 05:00:00,"4.6","1091.99","75","0"
2022-01-04 06:00:00,"4.1","1092.02","75","0"
2022-01-04 07:00:00,"3.2","1092","75","0"
2022-01-04 08:00:00,"3.5","1092.01","76","0"
2022-01-04 09:00:00,"7.6","1092.01","75","0"
2022-01-04 10:00:00,"11.6","1092.01","76","0"
2022-01-04 11:00:00,"16.2","1092","75","0"
2022-01-04 12:00:00,"21.7","1092.01","76","0"
2022-01-04 13:00:00,"23.5","1092.01","75","0"
2022-01-04 14:00:00,"25.3","1092.01","75","0"
2022-01-04 15:00:00,"25.2","1092.02","75","0"
2022-01-04 16:00:00,"25.5","1092.02","75","0"
2022-01-04 17:00:00,"24.3","1092.01","75","0"
2022-01-04 18:00:00,"22.7","1092.02","75","0"
2022-01-04 19:00:00,"21.4","1092","75","0"
2022-01-04 20:00:00,"19.5","1092","75","0"
2022-01-04 21:00:00,"18.9","1092.01","75","0"
